elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,6688329728,26256531456,2,23068672,1368850432,17102733312,0,0,988676096,6442319872
103,15.2,6741487616,26256531456,2,614465536,1962344448,17102733312,0,0,988676096,6442319872
206,11.2,6741745664,26256531456,52,614465536,1962344448,17102733312,0,0,988676096,6442319872
309,13.9,6741745664,26256531456,52,614465536,1962344448,17102733312,0,0,988676096,6442319872
411,13.0,6741745664,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
521,16.3,6741745664,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
628,12.0,6741745664,26256531456,91,614465536,1962344448,17102733312,0,0,988676096,6442319872
737,14.3,6741745664,26256531456,91,614465536,1962344448,17102733312,0,0,988676096,6442319872
839,15.1,6741745664,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
946,14.5,6741745664,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
1049,18.9,6743035904,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
1160,25.7,6744068096,26256531456,91,614465536,1962344448,17102733312,0,0,988676096,6442319872
1262,15.4,6744068096,26256531456,91,614465536,1962344448,17102733312,0,0,988676096,6442319872
1364,14.0,6744068096,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
1470,11.2,6742519808,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
1574,16.3,6742261760,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
1679,10.3,6733172736,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
1782,14.9,6732972032,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
1888,12.8,6732972032,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
1991,13.9,6732972032,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
2098,17.9,6734520320,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
2200,12.6,6734520320,26256531456,92,614465536,1962344448,17102733312,0,0,988676096,6442319872
2303,14.4,6734520320,26256531456,92,614465536,1962344448,17102733312,0,0,988676096,6442319872
2405,10.4,6734520320,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
2509,14.8,6734520320,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
2615,11.3,6734520320,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
2719,12.7,6734520320,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
2824,13.0,6734520320,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
2928,13.6,6734520320,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3034,14.7,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3136,15.1,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
3243,12.9,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
3346,13.1,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3451,12.7,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3555,13.7,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
3660,10.4,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
3762,11.8,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3867,11.5,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
3970,12.7,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
4074,19.0,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
4177,14.9,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
4285,11.0,6735036416,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
4388,12.8,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
4496,9.5,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
4598,15.4,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
4703,10.8,6735036416,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
4806,14.5,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
4913,11.6,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5015,18.0,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5117,16.1,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5222,14.0,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5324,12.9,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5428,12.9,6735552512,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
5530,14.1,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
5635,12.6,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
5737,12.8,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
5841,12.1,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
5943,15.1,6735552512,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6047,16.4,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6150,16.3,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6252,14.0,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6356,11.4,6736326656,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
6462,12.9,6736326656,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
6566,12.1,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6671,9.1,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
6773,13.4,6736326656,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
6877,16.5,6736326656,26256531456,93,614465536,1962344448,17102733312,0,0,988676096,6442319872
6980,10.6,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7087,11.8,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7194,13.4,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7298,16.1,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7406,14.0,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7511,12.9,6736326656,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7620,11.4,6031732736,26256531456,94,614465536,1962344448,17102733312,0,0,988676096,6442319872
7722,9.0,4639936512,26256531456,47,614465536,1962344448,17102733312,0,0,988676096,6442319872
