elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,6188421120,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
102,4.9,6201810944,26256531456,2,180355072,1521942528,17102733312,0,0,988676096,6442319872
234,10.7,6254813184,26256531456,7,180355072,1524039680,17102733312,0,0,988676096,6442319872
337,8.5,6356742144,26256531456,7,551550976,1895235584,17102733312,0,0,988676096,6442319872
439,6.7,6452994048,26256531456,15,805306368,2148990976,17102733312,0,0,988676096,6442319872
541,9.0,6520344576,26256531456,15,1015021568,2360803328,17102733312,0,0,988676096,6442319872
645,9.0,6525763584,26256531456,26,1015021568,2360803328,17102733312,0,0,988676096,6442319872
753,10.3,6525763584,26256531456,26,1015021568,2360803328,17102733312,0,0,988676096,6442319872
868,10.9,6525763584,26256531456,97,1015021568,2360803328,17102733312,0,0,988676096,6442319872
979,11.7,6525763584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1091,11.0,6525763584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1202,9.3,6527311872,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1314,12.0,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1426,10.6,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1537,12.2,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1648,15.0,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1760,7.9,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1870,8.2,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
1981,15.7,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2093,12.3,6527299584,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2202,9.9,6528331776,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2313,13.1,6528323584,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2424,13.7,6528323584,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2534,12.8,6528323584,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2647,7.9,6528839680,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2759,7.5,6528839680,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2870,9.2,6528839680,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
2981,12.6,6528839680,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3091,8.1,6528839680,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3202,10.5,6529871872,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3314,8.1,6529613824,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3426,12.2,6529613824,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3537,15.0,6529613824,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3648,14.2,6529613824,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3758,10.4,6529613824,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3870,12.7,6530129920,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
3984,11.5,6530129920,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4094,12.4,6530129920,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4203,13.1,6531162112,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4315,8.5,6531162112,26256531456,96,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4424,12.4,6530904064,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4537,13.9,6530904064,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4649,10.2,6530646016,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4762,12.2,6530646016,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4872,13.0,6530904064,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
4985,12.2,6530904064,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5097,11.5,6530904064,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5209,15.4,6531936256,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5322,9.6,6531936256,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5433,9.8,6532194304,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5545,13.5,6532194304,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5656,12.4,6532194304,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5768,10.7,6531936256,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5879,12.9,6531936256,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
5991,9.8,6531936256,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6102,9.7,6532194304,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6212,15.1,6533484544,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
6325,10.6,6533742592,26256531456,95,1015021568,2360803328,17102733312,0,0,988676096,6442319872
