elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4801769472,26256531456,4,23068672,1370947584,17102733312,0,0,988676096,6442319872
103,18.0,4802801664,26256531456,4,509607936,1857486848,17102733312,0,0,988676096,6442319872
207,8.0,4802801664,26256531456,52,526385152,1874264064,17102733312,0,0,988676096,6442319872
309,13.3,4803059712,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
422,12.2,4803059712,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
524,11.5,4803059712,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
627,11.9,4806156288,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
735,11.4,4806156288,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
856,11.4,4806156288,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
969,12.6,4806156288,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
1093,14.0,4807446528,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
1195,10.3,4807446528,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
1305,11.2,4807446528,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1423,8.0,4807446528,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1533,10.1,4807446528,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1652,8.1,4807704576,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1765,8.4,4807704576,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1882,12.1,4807704576,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
1984,11.5,4807704576,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2098,15.9,4808736768,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2201,11.4,4808478720,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
2321,9.4,4808478720,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2423,9.3,4808478720,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2532,8.8,4808478720,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2654,11.3,4808736768,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2767,10.9,4808736768,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2884,11.4,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
2997,12.4,4807188480,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3113,13.8,4807962624,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3225,10.6,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3343,9.2,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3456,11.5,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3577,9.4,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3687,10.7,4806930432,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3803,10.8,4807188480,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
3905,9.9,4807188480,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4007,9.3,4807704576,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4122,12.4,4808478720,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4224,10.5,4808478720,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4327,8.6,4808736768,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4441,8.7,4808736768,26256531456,96,526385152,1874264064,17102733312,0,0,988676096,6442319872
4544,7.0,4808736768,26256531456,95,526385152,1874264064,17102733312,0,0,988676096,6442319872
