elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4886020096,26256531456,2,23068672,1368850432,17102733312,0,0,988676096,6442319872
103,12.4,4905115648,26256531456,2,480247808,1826029568,17102733312,0,0,988676096,6442319872
225,7.4,4905115648,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
333,14.3,5029502976,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
448,10.8,4905115648,26256531456,45,480247808,1826029568,17102733312,0,0,988676096,6442319872
552,10.3,4905115648,26256531456,45,480247808,1826029568,17102733312,0,0,988676096,6442319872
655,7.5,4905115648,26256531456,43,480247808,1826029568,17102733312,0,0,988676096,6442319872
759,8.6,4905115648,26256531456,43,480247808,1826029568,17102733312,0,0,988676096,6442319872
873,13.4,4905107456,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
977,15.7,4905107456,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
1080,14.0,4905107456,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
1191,13.1,4905107456,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
1298,9.7,4905107456,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
1403,12.5,4905107456,26256531456,42,480247808,1826029568,17102733312,0,0,988676096,6442319872
1513,13.8,4905107456,26256531456,57,480247808,1826029568,17102733312,0,0,988676096,6442319872
1621,11.2,4905107456,26256531456,48,480247808,1826029568,17102733312,0,0,988676096,6442319872
1731,9.2,4905107456,26256531456,48,480247808,1826029568,17102733312,0,0,988676096,6442319872
1837,12.5,4905107456,26256531456,46,480247808,1826029568,17102733312,0,0,988676096,6442319872
1951,12.9,4905107456,26256531456,46,480247808,1826029568,17102733312,0,0,988676096,6442319872
2064,11.6,4905107456,26256531456,49,480247808,1826029568,17102733312,0,0,988676096,6442319872
2167,12.5,4905365504,26256531456,49,480247808,1826029568,17102733312,0,0,988676096,6442319872
2271,11.4,4905365504,26256531456,47,480247808,1826029568,17102733312,0,0,988676096,6442319872
2374,11.0,4905107456,26256531456,47,480247808,1826029568,17102733312,0,0,988676096,6442319872
2478,13.2,5039325184,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
2618,13.2,4905107456,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
2723,14.2,4905365504,26256531456,49,480247808,1826029568,17102733312,0,0,988676096,6442319872
2830,15.2,4905365504,26256531456,55,480247808,1826029568,17102733312,0,0,988676096,6442319872
2935,12.4,4905365504,26256531456,55,480247808,1826029568,17102733312,0,0,988676096,6442319872
3042,10.6,4905365504,26256531456,55,480247808,1826029568,17102733312,0,0,988676096,6442319872
3155,15.8,4905881600,26256531456,55,480247808,1826029568,17102733312,0,0,988676096,6442319872
3258,10.4,4905881600,26256531456,49,480247808,1826029568,17102733312,0,0,988676096,6442319872
3367,8.1,4905881600,26256531456,49,480247808,1826029568,17102733312,0,0,988676096,6442319872
3470,9.2,4905881600,26256531456,37,480247808,1826029568,17102733312,0,0,988676096,6442319872
3573,16.7,4910526464,26256531456,37,480247808,1826029568,17102733312,0,0,988676096,6442319872
3678,10.2,4909752320,26256531456,41,480247808,1826029568,17102733312,0,0,988676096,6442319872
3781,9.9,4909752320,26256531456,41,480247808,1826029568,17102733312,0,0,988676096,6442319872
3885,15.1,4909752320,26256531456,38,480247808,1826029568,17102733312,0,0,988676096,6442319872
3995,11.9,4909752320,26256531456,38,480247808,1826029568,17102733312,0,0,988676096,6442319872
4100,12.1,4909752320,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
4204,9.8,4910010368,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
4308,10.4,4910010368,26256531456,38,480247808,1826029568,17102733312,0,0,988676096,6442319872
4411,10.4,4910010368,26256531456,38,480247808,1826029568,17102733312,0,0,988676096,6442319872
4514,12.2,4910010368,26256531456,44,480247808,1826029568,17102733312,0,0,988676096,6442319872
4628,11.5,4910010368,26256531456,44,480247808,1826029568,17102733312,0,0,988676096,6442319872
4733,9.5,4315869184,26256531456,52,480247808,1826029568,17102733312,0,0,988676096,6442319872
