elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4908937216,26256531456,2,23068672,1364656128,17102733312,0,0,988676096,6442319872
102,11.9,4921323520,26256531456,17,1218445312,2560032768,17102733312,0,0,988676096,6442319872
243,10.6,4950462464,26256531456,89,3439329280,4780916736,17102733312,0,0,988676096,6442319872
407,9.1,4950462464,26256531456,89,3573547008,4915134464,17102733312,0,0,988676096,6442319872
562,10.9,4950462464,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
718,9.0,4948598784,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
877,9.3,4948656128,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1032,10.4,4947881984,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1190,8.4,4947881984,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1348,10.2,4947881984,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1503,9.6,4947881984,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1660,10.4,4947841024,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1817,10.2,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
1976,9.4,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2132,8.8,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2289,8.8,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2444,10.4,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2603,7.6,4947324928,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2759,11.2,4947582976,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
2917,11.1,4947582976,26256531456,97,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3077,9.4,4947582976,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3235,10.2,4947582976,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3391,8.8,4947582976,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3547,8.1,4947582976,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3703,13.2,4948615168,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
3860,8.8,4948357120,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4016,8.4,4948357120,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4174,8.0,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4327,9.9,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4482,8.8,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4639,9.6,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4794,10.8,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
4954,7.9,4948873216,26256531456,98,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5110,8.9,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5265,8.5,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5421,8.1,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5578,7.7,4948873216,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5733,10.1,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
5887,8.9,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6043,8.1,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6201,8.3,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6356,8.9,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6509,10.5,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6666,13.6,4949905408,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6821,10.3,4949905408,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
6977,9.6,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
7133,8.8,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
7288,8.9,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
7442,8.2,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
7597,10.7,4949389312,26256531456,99,3573547008,4915134464,17102733312,0,0,988676096,6442319872
