elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4789862400,26256531456,3,23068672,1370947584,17102733312,0,0,988676096,6442319872
102,12.5,4790505472,26256531456,7,1797259264,3145138176,17102733312,0,0,988676096,6442319872
210,16.9,4800311296,26256531456,7,2051014656,3398893568,17102733312,0,0,988676096,6442319872
331,17.8,4802342912,26256531456,82,2051014656,3398893568,17102733312,0,0,988676096,6442319872
441,15.6,4803850240,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
551,9.6,4803850240,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
660,10.9,4803850240,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
770,12.7,4786327552,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
881,10.0,4786188288,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
990,12.6,4920406016,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1135,10.0,4786704384,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1238,9.9,4786704384,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1347,10.4,4786704384,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1461,9.4,4787191808,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1572,8.5,4787191808,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1681,9.7,4787191808,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1789,10.3,4787191808,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
1900,11.0,4787707904,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2010,10.2,4787707904,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2120,10.7,4787707904,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2231,10.2,4787707904,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2339,9.9,4787965952,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2449,8.6,4787965952,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2561,11.5,4787965952,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2670,10.2,4787965952,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2783,7.3,4788224000,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
2896,8.9,4788224000,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3010,8.8,4788224000,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3123,10.9,4922441728,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3240,11.6,4788224000,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3352,13.2,4788482048,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3466,7.7,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3579,11.6,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3692,10.3,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3804,10.1,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
3917,7.8,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4030,10.0,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4144,9.2,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4256,9.0,4788482048,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4371,9.8,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4485,8.8,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4597,10.1,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4710,9.4,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4823,8.5,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
4936,8.8,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
5050,9.9,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
5164,9.9,4788998144,26256531456,96,2051014656,3398893568,17102733312,0,0,988676096,6442319872
5277,20.0,4787957760,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
5380,14.4,4788989952,26256531456,95,2051014656,3398893568,17102733312,0,0,988676096,6442319872
5495,10.5,4788989952,26256531456,89,2051014656,3398893568,17102733312,0,0,988676096,6442319872
