elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4109291520,26256531456,4,23068672,1368850432,17102733312,0,0,988676096,6442319872
104,12.3,4183093248,26256531456,4,710934528,2056716288,17102733312,0,0,988676096,6442319872
281,7.1,4219219968,26256531456,20,731906048,2077687808,17102733312,0,0,988676096,6442319872
383,9.0,4219219968,26256531456,85,731906048,2077687808,17102733312,0,0,988676096,6442319872
486,7.3,4219219968,26256531456,85,731906048,2077687808,17102733312,0,0,988676096,6442319872
589,7.5,4307300352,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
691,9.2,4219219968,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
794,6.8,4219219968,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
896,9.0,4219219968,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
1007,8.5,4219219968,26256531456,89,731906048,2077687808,17102733312,0,0,988676096,6442319872
1115,9.9,4219736064,26256531456,89,731906048,2077687808,17102733312,0,0,988676096,6442319872
1217,7.3,4219736064,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
1319,9.8,4219736064,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
1422,8.0,4219736064,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
1524,7.3,4219736064,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
1626,8.0,4219736064,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
1736,9.6,4219736064,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
1838,6.7,4219736064,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
1941,10.3,4219736064,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
2043,9.8,4219736064,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
2152,8.0,4219994112,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
2256,7.8,4219736064,26256531456,91,731906048,2077687808,17102733312,0,0,988676096,6442319872
2360,8.5,4219736064,26256531456,91,731906048,2077687808,17102733312,0,0,988676096,6442319872
2463,7.4,4219736064,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
2565,8.0,4219736064,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
2667,8.0,4219736064,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
2770,8.0,4219736064,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
2872,7.4,4219736064,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
2982,9.6,4219736064,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
3084,9.4,4219994112,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
3187,9.6,4220252160,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
3289,9.7,4220252160,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
3392,7.9,4220252160,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
3494,7.4,4220252160,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
3596,6.7,4220252160,26256531456,85,731906048,2077687808,17102733312,0,0,988676096,6442319872
3702,7.7,4220252160,26256531456,85,731906048,2077687808,17102733312,0,0,988676096,6442319872
3804,8.0,4220252160,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
3907,8.0,4220252160,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
4008,8.5,4220252160,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
4119,9.1,4220243968,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
4221,6.2,4219985920,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
4324,10.1,4219985920,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
4427,8.0,4219985920,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
4537,6.8,4219985920,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
4645,8.7,4219985920,26256531456,86,731906048,2077687808,17102733312,0,0,988676096,6442319872
4747,8.0,4219985920,26256531456,86,731906048,2077687808,17102733312,0,0,988676096,6442319872
4850,7.4,4219985920,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
4952,7.4,4219985920,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
5054,11.5,4219985920,26256531456,88,731906048,2077687808,17102733312,0,0,988676096,6442319872
5159,9.9,4220243968,26256531456,88,731906048,2077687808,17102733312,0,0,988676096,6442319872
5261,8.0,4220243968,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
5364,8.5,4220243968,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
5466,6.8,4220243968,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
5569,8.0,4220502016,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
5671,10.2,4220502016,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
5773,9.6,4220502016,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
5876,8.0,4220502016,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
5979,9.5,4220502016,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
6082,11.5,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
6184,8.5,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
6286,9.2,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
6388,10.2,4221018112,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
6491,7.9,4221018112,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
6597,9.3,4221018112,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
6699,8.4,4221018112,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
6801,10.9,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
6904,8.4,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
7007,8.7,4221018112,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
7110,9.7,4221534208,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
7212,6.8,4221276160,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
7314,10.8,4221276160,26256531456,90,731906048,2077687808,17102733312,0,0,988676096,6442319872
7415,9.2,4221276160,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
7517,7.9,4221276160,26256531456,92,731906048,2077687808,17102733312,0,0,988676096,6442319872
7620,8.5,4221276160,26256531456,91,731906048,2077687808,17102733312,0,0,988676096,6442319872
7722,8.5,4221276160,26256531456,91,731906048,2077687808,17102733312,0,0,988676096,6442319872
7831,8.6,4221276160,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
7933,8.0,4221276160,26256531456,94,731906048,2077687808,17102733312,0,0,988676096,6442319872
8035,11.5,4221534208,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
8140,9.4,4221792256,26256531456,93,731906048,2077687808,17102733312,0,0,988676096,6442319872
