cell,seed,k,mode,final_loss,final_eval,total_s,syncs,pearson_r01,pearson_r02,pearson_r12,gpu_util_mean_r0,vram_alloc_peak_r0,gpu_util_mean_r1,vram_alloc_peak_r1,gpu_util_mean_r2,vram_alloc_peak_r2,share_mean_r0,tput_mean_r0,share_mean_r1,tput_mean_r1,share_mean_r2,tput_mean_r2
seed-0-fixed-k-3200,0,3200,nccl-async,0.0839,0.9176,1718.6000,13,0.9782,0.9659,0.9986,22.4595,356.0000,59.0382,402.0000,60.8781,414.0000,0.3467,3.1582,0.3242,3.6430,0.3291,3.5884
seed-1-fixed-k-3200,1,3200,nccl-async,0.1030,0.9176,1702.2000,12,0.9996,0.9970,0.9973,22.2076,356.0000,59.2248,382.0000,61.8510,388.0000,0.3784,2.9566,0.3088,3.6998,0.3128,3.7027
seed-2-fixed-k-3200,2,3200,nccl-async,0.0996,0.9128,1715.2000,13,0.9999,1.0000,0.9999,22.3001,356.0000,58.0944,418.0000,61.2587,436.0000,0.3269,3.0942,0.3312,3.8265,0.3419,3.5264
seed-0-fixed-k-6400,0,6400,nccl-async,0.1087,0.9131,1701.6000,7,0.9982,0.9998,0.9991,22.4982,356.0000,58.6012,390.0000,61.3482,368.0000,0.3845,3.1021,0.3223,3.6544,0.2932,3.7179
seed-1-fixed-k-6400,1,6400,nccl-async,0.0944,0.9139,1705.5000,7,0.9997,1.0000,0.9997,22.1566,356.0000,59.1948,410.0000,61.3380,444.0000,0.2918,3.4107,0.3412,3.5280,0.3670,3.6019
seed-2-fixed-k-6400,2,6400,nccl-async,0.0929,0.9164,1706.6000,7,0.9994,0.9996,0.9999,22.4432,356.0000,58.4986,378.0000,61.2369,400.0000,0.3693,3.1502,0.2999,3.8435,0.3308,3.4554
seed-0-fixed-k-12800,0,12800,nccl-async,0.1176,0.9129,1693.6000,4,0.9980,0.9997,0.9985,22.4404,356.0000,59.2812,422.0000,61.8383,362.0000,0.3644,3.1109,0.3579,3.5324,0.2778,3.9802
seed-1-fixed-k-12800,1,12800,nccl-async,0.1382,0.9137,1707.3000,4,0.9999,0.9972,0.9964,22.2781,356.0000,58.4640,418.0000,61.4213,394.0000,0.3231,3.4852,0.3538,3.5979,0.3230,3.4322
seed-2-fixed-k-12800,2,12800,nccl-async,0.1201,0.9121,1709.3000,5,0.9930,0.9942,0.9999,22.0381,356.0000,58.8223,456.0000,61.4662,436.0000,0.2370,3.8884,0.3938,3.5873,0.3692,3.4962
seed-0-fixed-k-16000,0,16000,nccl-async,0.1938,0.9031,1709.1000,3,0.9993,0.9998,0.9982,22.3450,356.0000,58.2800,390.0000,61.2727,390.0000,0.3580,3.3386,0.3209,3.6802,0.3210,3.3710
seed-1-fixed-k-16000,1,16000,nccl-async,0.2391,0.8932,1701.7000,3,1.0000,1.0000,1.0000,22.4259,356.0000,59.0742,368.0000,61.2176,388.0000,0.3900,3.0231,0.2911,4.1046,0.3190,3.3657
seed-2-fixed-k-16000,2,16000,nccl-async,0.1778,0.9053,1706.1000,3,0.9996,0.9992,0.9999,22.3947,356.0000,58.7356,390.0000,61.0687,396.0000,0.3485,3.4308,0.3236,3.4591,0.3279,3.5561
seed-0-fixed-k-25600,0,25600,nccl-async,0.1461,0.9089,1703.3000,2,1.0000,1.0000,1.0000,22.4310,356.0000,58.4191,368.0000,61.5685,412.0000,0.3626,3.1587,0.2886,3.9579,0.3490,3.4285
seed-1-fixed-k-25600,1,25600,nccl-async,0.2517,0.5580,1710.8000,2,1.0000,1.0000,1.0000,22.2346,356.0000,58.7851,410.0000,61.0950,390.0000,0.3341,3.5291,0.3458,3.5667,0.3201,3.4355
seed-2-fixed-k-25600,2,25600,nccl-async,0.2217,0.8458,1702.6000,2,1.0000,1.0000,1.0000,22.4370,356.0000,58.6756,388.0000,61.4930,404.0000,0.3433,3.5010,0.3189,3.6552,0.3377,3.3594
seed-0-fixed-k-51200,0,51200,nccl-async,1.1266,0.6322,1707.1000,2,1.0000,1.0000,1.0000,22.2942,356.0000,58.6510,406.0000,61.5004,406.0000,0.3125,3.4880,0.3436,3.7554,0.3439,3.4747
seed-1-fixed-k-51200,1,51200,nccl-async,0.4836,0.1002,1707.0000,1,,,,22.3882,356.0000,58.2149,374.0000,61.4504,390.0000,0.3758,3.1561,0.3005,3.8504,0.3237,3.3965
seed-2-fixed-k-51200,2,51200,nccl-async,0.4844,0.1002,1700.8000,1,,,,22.3801,356.0000,58.8685,390.0000,61.4976,372.0000,0.3775,3.1015,0.3235,3.6455,0.2989,3.6837
