cell,seed,k,rank,gpu_label,share_mean,share_std,tput_mean,tput_std,gpu_util_mean,vram_alloc_peak_mb
seed-0-fixed-k-3200,0,3200,0,RTX 5060 Ti,0.3467,0.0287,3.1582,0.9230,22.4595,356.0000
seed-0-fixed-k-3200,0,3200,1,GTX 1060 (#1),0.3242,0.0104,3.6430,1.0933,59.0382,402.0000
seed-0-fixed-k-3200,0,3200,2,GTX 1060 (#2),0.3291,0.0183,3.5884,1.1578,60.8781,414.0000
seed-1-fixed-k-3200,1,3200,0,RTX 5060 Ti,0.3784,0.0091,2.9566,0.7564,22.2076,356.0000
seed-1-fixed-k-3200,1,3200,1,GTX 1060 (#1),0.3088,0.0024,3.6998,1.0601,59.2248,382.0000
seed-1-fixed-k-3200,1,3200,2,GTX 1060 (#2),0.3128,0.0068,3.7027,1.0845,61.8510,388.0000
seed-2-fixed-k-3200,2,3200,0,RTX 5060 Ti,0.3269,0.0402,3.0942,0.8540,22.3001,356.0000
seed-2-fixed-k-3200,2,3200,1,GTX 1060 (#1),0.3312,0.0171,3.8265,1.2178,58.0944,418.0000
seed-2-fixed-k-3200,2,3200,2,GTX 1060 (#2),0.3419,0.0232,3.5264,1.0239,61.2587,436.0000
seed-0-fixed-k-6400,0,6400,0,RTX 5060 Ti,0.3845,0.0044,3.1021,0.8436,22.4982,356.0000
seed-0-fixed-k-6400,0,6400,1,GTX 1060 (#1),0.3223,0.0029,3.6544,1.1372,58.6012,390.0000
seed-0-fixed-k-6400,0,6400,2,GTX 1060 (#2),0.2932,0.0016,3.7179,1.1734,61.3482,368.0000
seed-1-fixed-k-6400,1,6400,0,RTX 5060 Ti,0.2918,0.0248,3.4107,1.1314,22.1566,356.0000
seed-1-fixed-k-6400,1,6400,1,GTX 1060 (#1),0.3412,0.0073,3.5280,1.1594,59.1948,410.0000
seed-1-fixed-k-6400,1,6400,2,GTX 1060 (#2),0.3670,0.0175,3.6019,0.9892,61.3380,444.0000
seed-2-fixed-k-6400,2,6400,0,RTX 5060 Ti,0.3693,0.0045,3.1502,0.8151,22.4432,356.0000
seed-2-fixed-k-6400,2,6400,1,GTX 1060 (#1),0.2999,0.0017,3.8435,1.2908,58.4986,378.0000
seed-2-fixed-k-6400,2,6400,2,GTX 1060 (#2),0.3308,0.0061,3.4554,1.1619,61.2369,400.0000
seed-0-fixed-k-12800,0,12800,0,RTX 5060 Ti,0.3644,0.0045,3.1109,0.8086,22.4404,356.0000
