alpha,seed,cell,eval_pct,loss,syncs,avg_sync_ms,total_s,idle_s,gpu0_pct,gpu1_pct,gpu2_pct,g0_peak_mb,g0_mean_mb,g1_peak_mb,g1_mean_mb,g2_peak_mb,g2_mean_mb
1.0,1,seed-1-cpu-async-msf-alpha10,91.94,0.050737,316,82.5,1817.3,8.0,100,100,100,358,357,390,379,384,382
1.0,2,seed-2-cpu-async-msf-alpha10,91.75999999999999,0.052505,533,79.7,1837.5,13.1,100,100,100,358,357,388,385,378,373
1.0,3,seed-3-cpu-async-msf-alpha10,91.86,0.052263,430,79.9,1815.4,9.9,100,100,100,358,357,394,385,392,383
1.0,4,seed-4-cpu-async-msf-alpha10,91.51,0.053912,731,75.2,1813.3,7.6,100,100,100,358,357,396,391,384,378
0.7,1,seed-1-cpu-async-msf-alpha07,92.04,0.05224,919,77.0,1821.8,13.6,100,100,100,358,357,398,395,390,385
0.7,2,seed-2-cpu-async-msf-alpha07,91.59,0.052117,588,78.1,1778.4,2.8,100,100,100,358,357,400,398,386,384
0.7,3,seed-3-cpu-async-msf-alpha07,92.04,0.064709,470,82.7,1795.4,12.9,100,100,100,358,357,392,385,388,383
0.7,4,seed-4-cpu-async-msf-alpha07,91.86,0.059894,307,87.2,1822.5,12.8,100,100,100,358,357,396,393,386,378
0.5,1,seed-1-cpu-async-msf-alpha05,91.93,0.056148,712,78.0,1798.2,4.4,100,100,100,358,357,398,394,392,390
0.5,2,seed-2-cpu-async-msf-alpha05,91.64999999999999,0.053181,493,78.7,1786.5,7.2,100,100,100,358,357,396,392,390,386
0.5,3,seed-3-cpu-async-msf-alpha05,91.79,0.06146,503,83.7,1816.9,15.6,100,100,100,358,357,406,391,396,385
0.5,4,seed-4-cpu-async-msf-alpha05,92.19000000000001,0.051794,484,79.5,1802.6,19.4,100,99,100,358,357,394,390,392,382
0.3,1,seed-1-cpu-async-msf-alpha03,91.60000000000001,0.068892,335,84.4,1787.6,14.0,100,99,100,358,357,388,386,386,380
0.3,2,seed-2-cpu-async-msf-alpha03,91.60000000000001,0.06567,538,79.0,1800.7,16.9,100,99,99,358,357,390,387,394,392
0.3,3,seed-3-cpu-async-msf-alpha03,91.82000000000001,0.070984,731,77.0,1811.5,6.7,100,100,100,358,357,394,390,394,390
0.3,4,seed-4-cpu-async-msf-alpha03,91.25999999999999,0.066195,719,79.3,1862.6,10.2,100,100,100,358,357,392,388,400,389
