alpha,seed,cell,rank,gpu_label,util_pct,peak_vram_mb,mean_vram_mb
1.0,1,seed-1-cpu-async-msf-alpha10,0,RTX 5060 Ti,100,358,357
1.0,1,seed-1-cpu-async-msf-alpha10,1,GTX 1060 (#1),100,390,379
1.0,1,seed-1-cpu-async-msf-alpha10,2,GTX 1060 (#2),100,384,382
1.0,2,seed-2-cpu-async-msf-alpha10,0,RTX 5060 Ti,100,358,357
1.0,2,seed-2-cpu-async-msf-alpha10,1,GTX 1060 (#1),100,388,385
1.0,2,seed-2-cpu-async-msf-alpha10,2,GTX 1060 (#2),100,378,373
1.0,3,seed-3-cpu-async-msf-alpha10,0,RTX 5060 Ti,100,358,357
1.0,3,seed-3-cpu-async-msf-alpha10,1,GTX 1060 (#1),100,394,385
1.0,3,seed-3-cpu-async-msf-alpha10,2,GTX 1060 (#2),100,392,383
1.0,4,seed-4-cpu-async-msf-alpha10,0,RTX 5060 Ti,100,358,357
1.0,4,seed-4-cpu-async-msf-alpha10,1,GTX 1060 (#1),100,396,391
1.0,4,seed-4-cpu-async-msf-alpha10,2,GTX 1060 (#2),100,384,378
0.7,1,seed-1-cpu-async-msf-alpha07,0,RTX 5060 Ti,100,358,357
0.7,1,seed-1-cpu-async-msf-alpha07,1,GTX 1060 (#1),100,398,395
0.7,1,seed-1-cpu-async-msf-alpha07,2,GTX 1060 (#2),100,390,385
0.7,2,seed-2-cpu-async-msf-alpha07,0,RTX 5060 Ti,100,358,357
0.7,2,seed-2-cpu-async-msf-alpha07,1,GTX 1060 (#1),100,400,398
0.7,2,seed-2-cpu-async-msf-alpha07,2,GTX 1060 (#2),100,386,384
0.7,3,seed-3-cpu-async-msf-alpha07,0,RTX 5060 Ti,100,358,357
0.7,3,seed-3-cpu-async-msf-alpha07,1,GTX 1060 (#1),100,392,385
0.7,3,seed-3-cpu-async-msf-alpha07,2,GTX 1060 (#2),100,388,383
0.7,4,seed-4-cpu-async-msf-alpha07,0,RTX 5060 Ti,100,358,357
0.7,4,seed-4-cpu-async-msf-alpha07,1,GTX 1060 (#1),100,396,393
0.7,4,seed-4-cpu-async-msf-alpha07,2,GTX 1060 (#2),100,386,378
0.5,1,seed-1-cpu-async-msf-alpha05,0,RTX 5060 Ti,100,358,357
0.5,1,seed-1-cpu-async-msf-alpha05,1,GTX 1060 (#1),100,398,394
0.5,1,seed-1-cpu-async-msf-alpha05,2,GTX 1060 (#2),100,392,390
0.5,2,seed-2-cpu-async-msf-alpha05,0,RTX 5060 Ti,100,358,357
0.5,2,seed-2-cpu-async-msf-alpha05,1,GTX 1060 (#1),100,396,392
0.5,2,seed-2-cpu-async-msf-alpha05,2,GTX 1060 (#2),100,390,386
0.5,3,seed-3-cpu-async-msf-alpha05,0,RTX 5060 Ti,100,358,357
0.5,3,seed-3-cpu-async-msf-alpha05,1,GTX 1060 (#1),100,406,391
0.5,3,seed-3-cpu-async-msf-alpha05,2,GTX 1060 (#2),100,396,385
0.5,4,seed-4-cpu-async-msf-alpha05,0,RTX 5060 Ti,100,358,357
0.5,4,seed-4-cpu-async-msf-alpha05,1,GTX 1060 (#1),99,394,390
0.5,4,seed-4-cpu-async-msf-alpha05,2,GTX 1060 (#2),100,392,382
0.3,1,seed-1-cpu-async-msf-alpha03,0,RTX 5060 Ti,100,358,357
0.3,1,seed-1-cpu-async-msf-alpha03,1,GTX 1060 (#1),99,388,386
0.3,1,seed-1-cpu-async-msf-alpha03,2,GTX 1060 (#2),100,386,380
0.3,2,seed-2-cpu-async-msf-alpha03,0,RTX 5060 Ti,100,358,357
0.3,2,seed-2-cpu-async-msf-alpha03,1,GTX 1060 (#1),99,390,387
0.3,2,seed-2-cpu-async-msf-alpha03,2,GTX 1060 (#2),99,394,392
0.3,3,seed-3-cpu-async-msf-alpha03,0,RTX 5060 Ti,100,358,357
0.3,3,seed-3-cpu-async-msf-alpha03,1,GTX 1060 (#1),100,394,390
0.3,3,seed-3-cpu-async-msf-alpha03,2,GTX 1060 (#2),100,394,390
0.3,4,seed-4-cpu-async-msf-alpha03,0,RTX 5060 Ti,100,358,357
0.3,4,seed-4-cpu-async-msf-alpha03,1,GTX 1060 (#1),100,392,388
0.3,4,seed-4-cpu-async-msf-alpha03,2,GTX 1060 (#2),100,400,389
