cell,seed,mode,guard,final_loss,final_eval,total_s,syncs,pearson_r01,pearson_r02,pearson_r12,fires_current,fires_msf,gpu_util_mean_r0,vram_alloc_peak_r0,gpu_util_mean_r1,vram_alloc_peak_r1,gpu_util_mean_r2,vram_alloc_peak_r2,share_mean_r0,tput_mean_r0,share_mean_r1,tput_mean_r1,share_mean_r2,tput_mean_r2
seed-0-cpu-async-msf,0,cpu-async,msf,0.0553,0.9191,1938.5000,408,0.9903,0.9890,0.9908,52,0,20.8410,358.0000,56.0463,396.0000,58.2919,386.0000,0.3979,2.4580,0.3058,3.4628,0.2962,3.3399
seed-1-cpu-async-msf,1,cpu-async,msf,0.0503,0.9140,1782.7000,734,0.9967,0.9958,0.9973,46,0,21.5584,358.0000,56.2373,400.0000,59.0673,388.0000,0.4010,2.7094,0.3033,3.8061,0.2957,3.5655
seed-2-cpu-async-msf,2,cpu-async,msf,0.0624,0.9162,1745.9000,728,0.9934,0.9939,0.9925,75,0,21.8546,358.0000,57.2861,398.0000,59.8013,390.0000,0.4042,2.8214,0.3018,3.7193,0.2940,3.7911
seed-3-cpu-async-msf,3,cpu-async,msf,0.0633,0.9165,1738.0000,681,0.9926,0.9915,0.9911,77,0,21.9195,358.0000,57.9075,396.0000,60.1116,386.0000,0.3997,2.8432,0.3045,3.7503,0.2957,3.7378
seed-4-cpu-async-msf,4,cpu-async,msf,0.0595,0.9177,1746.7000,467,0.9947,0.9913,0.9914,51,0,21.7841,358.0000,57.5150,396.0000,59.7939,390.0000,0.4019,2.7839,0.3030,3.8874,0.2951,3.6451
seed-0-cpu-async-trend,0,cpu-async,trend,0.0594,0.9139,1939.7000,726,0.9975,0.9967,0.9961,50,0,20.9421,358.0000,56.3224,392.0000,57.8965,384.0000,0.3998,2.4573,0.3065,3.4333,0.2937,3.3729
seed-1-cpu-async-trend,1,cpu-async,trend,0.0545,0.9198,1741.1000,755,0.9961,0.9956,0.9952,64,0,21.7995,358.0000,57.5838,398.0000,60.4739,390.0000,0.3999,2.7709,0.3026,3.7653,0.2975,3.7950
seed-2-cpu-async-trend,2,cpu-async,trend,0.0629,0.9183,1739.9000,470,0.9872,0.9927,0.9844,47,0,21.9801,358.0000,57.4373,394.0000,60.0688,390.0000,0.4030,2.7985,0.3011,3.7888,0.2958,3.6903
seed-3-cpu-async-trend,3,cpu-async,trend,0.0565,0.9183,1748.8000,382,0.9926,0.9886,0.9882,46,0,21.7350,358.0000,57.2176,394.0000,59.8927,390.0000,0.4010,2.7411,0.3027,3.6591,0.2962,3.8882
seed-4-cpu-async-trend,4,cpu-async,trend,0.0620,0.9173,1754.4000,638,0.9952,0.9948,0.9953,47,0,21.8162,358.0000,57.0248,396.0000,59.8539,396.0000,0.4013,2.8450,0.3018,3.7593,0.2969,3.6526
seed-0-nccl-async-msf,0,nccl-async,msf,0.0474,0.9196,1913.0000,876,0.9896,0.9905,0.9981,60,1,20.4711,356.0000,54.9454,402.0000,57.2387,402.0000,0.3964,2.5292,0.3062,3.4711,0.2974,3.4117
seed-1-nccl-async-msf,1,nccl-async,msf,0.0547,0.9167,1843.1000,1356,0.9942,0.9990,0.9933,56,3,21.3242,356.0000,56.3799,404.0000,58.9580,388.0000,0.4063,2.7836,0.3017,3.6027,0.2920,3.4933
seed-2-nccl-async-msf,2,nccl-async,msf,0.0628,0.9208,1993.7000,537,0.9903,0.9939,0.9978,43,0,21.0095,356.0000,56.5135,396.0000,59.2802,392.0000,0.3995,2.4538,0.3054,3.3339,0.2951,3.1957
seed-3-nccl-async-msf,3,nccl-async,msf,0.0573,0.9158,1999.3000,872,0.9933,0.9930,0.9984,59,7,21.2891,356.0000,56.1692,394.0000,59.1855,398.0000,0.4017,2.4862,0.3019,3.3128,0.2964,3.1208
seed-4-nccl-async-msf,4,nccl-async,msf,0.0533,0.9184,2020.2000,768,0.9959,0.9898,0.9934,59,0,21.4942,356.0000,55.7503,390.0000,58.3918,388.0000,0.4017,2.5089,0.3044,3.3221,0.2939,3.1126
seed-0-nccl-async-trend,0,nccl-async,trend,0.0440,0.9161,1909.7000,767,0.9988,0.9970,0.9988,51,2,20.7598,356.0000,54.5246,396.0000,57.1641,386.0000,0.3967,2.5799,0.3065,3.4496,0.2968,3.3810
seed-1-nccl-async-trend,1,nccl-async,trend,0.0618,0.9177,1829.6000,307,0.9986,0.9980,0.9992,29,0,21.1666,356.0000,56.6453,390.0000,59.1675,384.0000,0.3990,2.7064,0.3054,3.5124,0.2956,3.5011
seed-2-nccl-async-trend,2,nccl-async,trend,0.0496,0.9206,1999.5000,553,0.9728,0.9923,0.9726,50,0,21.0325,356.0000,56.4548,398.0000,58.9897,390.0000,0.3989,2.4693,0.3044,3.2108,0.2967,3.3329
seed-3-nccl-async-trend,3,nccl-async,trend,0.0629,0.9155,1988.7000,710,0.9987,0.9990,0.9985,39,2,21.2382,356.0000,56.9241,400.0000,58.9344,402.0000,0.4008,2.5062,0.3062,3.3396,0.2930,3.2317
seed-4-nccl-async-trend,4,nccl-async,trend,0.0601,0.9157,2010.9000,356,0.9904,0.9903,0.9990,34,0,21.1870,356.0000,55.7507,388.0000,58.7296,384.0000,0.4011,2.4414,0.3034,3.1722,0.2955,3.2387
