cell,seed,mode,guard,rank,gpu_label,share_mean,share_std,tput_mean,tput_std,gpu_util_mean,vram_alloc_peak_mb
seed-0-cpu-async-msf,0,cpu-async,msf,0,RTX 5060 Ti,0.3979,0.0114,2.4580,0.5333,20.8410,358.0000
seed-0-cpu-async-msf,0,cpu-async,msf,1,GTX 1060 (#1),0.3058,0.0085,3.4628,1.0349,56.0463,396.0000
seed-0-cpu-async-msf,0,cpu-async,msf,2,GTX 1060 (#2),0.2962,0.0064,3.3399,0.9988,58.2919,386.0000
seed-1-cpu-async-msf,1,cpu-async,msf,0,RTX 5060 Ti,0.4010,0.0120,2.7094,0.5929,21.5584,358.0000
seed-1-cpu-async-msf,1,cpu-async,msf,1,GTX 1060 (#1),0.3033,0.0077,3.8061,1.1520,56.2373,400.0000
seed-1-cpu-async-msf,1,cpu-async,msf,2,GTX 1060 (#2),0.2957,0.0083,3.5655,1.1318,59.0673,388.0000
seed-2-cpu-async-msf,2,cpu-async,msf,0,RTX 5060 Ti,0.4042,0.0122,2.8214,0.6354,21.8546,358.0000
seed-2-cpu-async-msf,2,cpu-async,msf,1,GTX 1060 (#1),0.3018,0.0094,3.7193,1.1848,57.2861,398.0000
seed-2-cpu-async-msf,2,cpu-async,msf,2,GTX 1060 (#2),0.2940,0.0095,3.7911,1.2072,59.8013,390.0000
seed-3-cpu-async-msf,3,cpu-async,msf,0,RTX 5060 Ti,0.3997,0.0129,2.8432,0.6523,21.9195,358.0000
seed-3-cpu-async-msf,3,cpu-async,msf,1,GTX 1060 (#1),0.3045,0.0083,3.7503,1.2215,57.9075,396.0000
seed-3-cpu-async-msf,3,cpu-async,msf,2,GTX 1060 (#2),0.2957,0.0087,3.7378,1.1773,60.1116,386.0000
seed-4-cpu-async-msf,4,cpu-async,msf,0,RTX 5060 Ti,0.4019,0.0107,2.7839,0.6459,21.7841,358.0000
seed-4-cpu-async-msf,4,cpu-async,msf,1,GTX 1060 (#1),0.3030,0.0075,3.8874,1.2457,57.5150,396.0000
seed-4-cpu-async-msf,4,cpu-async,msf,2,GTX 1060 (#2),0.2951,0.0079,3.6451,1.1646,59.7939,390.0000
seed-0-cpu-async-trend,0,cpu-async,trend,0,RTX 5060 Ti,0.3998,0.0123,2.4573,0.5385,20.9421,358.0000
seed-0-cpu-async-trend,0,cpu-async,trend,1,GTX 1060 (#1),0.3065,0.0090,3.4333,1.0193,56.3224,392.0000
seed-0-cpu-async-trend,0,cpu-async,trend,2,GTX 1060 (#2),0.2937,0.0094,3.3729,0.9787,57.8965,384.0000
seed-1-cpu-async-trend,1,cpu-async,trend,0,RTX 5060 Ti,0.3999,0.0162,2.7709,0.6271,21.7995,358.0000
seed-1-cpu-async-trend,1,cpu-async,trend,1,GTX 1060 (#1),0.3026,0.0103,3.7653,1.1718,57.5838,398.0000
seed-1-cpu-async-trend,1,cpu-async,trend,2,GTX 1060 (#2),0.2975,0.0101,3.7950,1.1911,60.4739,390.0000
seed-2-cpu-async-trend,2,cpu-async,trend,0,RTX 5060 Ti,0.4030,0.0106,2.7985,0.6125,21.9801,358.0000
seed-2-cpu-async-trend,2,cpu-async,trend,1,GTX 1060 (#1),0.3011,0.0075,3.7888,1.0959,57.4373,394.0000
seed-2-cpu-async-trend,2,cpu-async,trend,2,GTX 1060 (#2),0.2958,0.0077,3.6903,1.1652,60.0688,390.0000
seed-3-cpu-async-trend,3,cpu-async,trend,0,RTX 5060 Ti,0.4010,0.0095,2.7411,0.6545,21.7350,358.0000
seed-3-cpu-async-trend,3,cpu-async,trend,1,GTX 1060 (#1),0.3027,0.0082,3.6591,1.0287,57.2176,394.0000
seed-3-cpu-async-trend,3,cpu-async,trend,2,GTX 1060 (#2),0.2962,0.0061,3.8882,1.2613,59.8927,390.0000
seed-4-cpu-async-trend,4,cpu-async,trend,0,RTX 5060 Ti,0.4013,0.0136,2.8450,0.6883,21.8162,358.0000
seed-4-cpu-async-trend,4,cpu-async,trend,1,GTX 1060 (#1),0.3018,0.0099,3.7593,1.1560,57.0248,396.0000
seed-4-cpu-async-trend,4,cpu-async,trend,2,GTX 1060 (#2),0.2969,0.0093,3.6526,1.1290,59.8539,396.0000
seed-0-nccl-async-msf,0,nccl-async,msf,0,RTX 5060 Ti,0.3964,0.0117,2.5292,0.5981,20.4711,356.0000
seed-0-nccl-async-msf,0,nccl-async,msf,1,GTX 1060 (#1),0.3062,0.0081,3.4711,1.0649,54.9454,402.0000
seed-0-nccl-async-msf,0,nccl-async,msf,2,GTX 1060 (#2),0.2974,0.0091,3.4117,1.1013,57.2387,402.0000
seed-1-nccl-async-msf,1,nccl-async,msf,0,RTX 5060 Ti,0.4063,0.0157,2.7836,0.6589,21.3242,356.0000
seed-1-nccl-async-msf,1,nccl-async,msf,1,GTX 1060 (#1),0.3017,0.0115,3.6027,1.2315,56.3799,404.0000
seed-1-nccl-async-msf,1,nccl-async,msf,2,GTX 1060 (#2),0.2920,0.0113,3.4933,1.1528,58.9580,388.0000
seed-2-nccl-async-msf,2,nccl-async,msf,0,RTX 5060 Ti,0.3995,0.0116,2.4538,0.5734,21.0095,356.0000
seed-2-nccl-async-msf,2,nccl-async,msf,1,GTX 1060 (#1),0.3054,0.0093,3.3339,1.0134,56.5135,396.0000
seed-2-nccl-async-msf,2,nccl-async,msf,2,GTX 1060 (#2),0.2951,0.0095,3.1957,0.9890,59.2802,392.0000
seed-3-nccl-async-msf,3,nccl-async,msf,0,RTX 5060 Ti,0.4017,0.0135,2.4862,0.5739,21.2891,356.0000
seed-3-nccl-async-msf,3,nccl-async,msf,1,GTX 1060 (#1),0.3019,0.0106,3.3128,0.9715,56.1692,394.0000
