cell,seed,mode,guard,anchor,final_loss,final_eval,total_s,syncs,pearson_r01,pearson_r02,pearson_r12,fires_current,fires_msf,gpu_util_mean_r0,vram_alloc_peak_r0,gpu_util_mean_r1,vram_alloc_peak_r1,gpu_util_mean_r2,vram_alloc_peak_r2,share_mean_r0,tput_mean_r0,share_mean_r1,tput_mean_r1,share_mean_r2,tput_mean_r2
seed-0-nccl-async-msf-relaxed,0,nccl-async,msf,relaxed,0.0544,0.9176,1874.1000,619,0.9815,0.9812,0.9973,77,0,22.0350,356.0000,57.6702,394.0000,60.8006,384.0000,0.4044,2.7793,0.3023,3.4322,0.2934,3.3694
seed-1-nccl-async-msf-relaxed,1,nccl-async,msf,relaxed,0.0486,0.9200,1870.7000,592,0.9802,0.9836,0.9948,85,0,21.8906,356.0000,57.9182,394.0000,60.2922,380.0000,0.4036,2.6875,0.3040,3.3718,0.2925,3.5382
seed-2-nccl-async-msf-relaxed,2,nccl-async,msf,relaxed,0.0645,0.9194,1843.6000,248,0.9975,0.9905,0.9888,51,0,22.1186,356.0000,58.2544,386.0000,60.8313,380.0000,0.4047,2.6986,0.3028,3.5736,0.2925,3.3969
seed-3-nccl-async-msf-relaxed,3,nccl-async,msf,relaxed,0.0665,0.9210,1850.0000,254,0.9986,0.9983,0.9971,46,0,21.8912,356.0000,57.8982,388.0000,60.7213,380.0000,0.4007,2.6560,0.3049,3.5042,0.2944,3.4740
seed-4-nccl-async-msf-relaxed,4,nccl-async,msf,relaxed,0.0610,0.9132,1846.8000,442,0.9909,0.9915,0.9983,63,0,22.0733,356.0000,57.4039,388.0000,60.5661,384.0000,0.4073,2.6522,0.2993,3.4698,0.2934,3.5796
seed-0-nccl-async-trend-relaxed,0,nccl-async,trend,relaxed,0.0641,0.9200,1899.3000,554,0.9875,0.9895,0.9968,72,0,21.8119,356.0000,56.9297,398.0000,60.4139,392.0000,0.4004,2.5734,0.3006,3.4745,0.2990,3.3868
seed-1-nccl-async-trend-relaxed,1,nccl-async,trend,relaxed,0.0639,0.9124,1855.0000,291,0.9979,0.9961,0.9988,41,0,22.0932,356.0000,58.1485,386.0000,60.9586,388.0000,0.4018,2.6224,0.3013,3.5335,0.2969,3.3990
seed-2-nccl-async-trend-relaxed,2,nccl-async,trend,relaxed,0.0610,0.9139,1859.6000,293,0.9975,0.9976,0.9990,36,0,22.0546,356.0000,57.7525,390.0000,60.6783,382.0000,0.3991,2.6628,0.3024,3.5051,0.2985,3.4622
seed-3-nccl-async-trend-relaxed,3,nccl-async,trend,relaxed,0.0665,0.9172,1850.8000,275,0.9967,0.9968,0.9993,45,0,21.7757,356.0000,58.0635,400.0000,60.9536,376.0000,0.4005,2.6382,0.3065,3.4487,0.2930,3.4852
seed-4-nccl-async-trend-relaxed,4,nccl-async,trend,relaxed,0.0633,0.9187,1852.1000,598,0.9860,0.9867,0.9973,72,0,22.2216,356.0000,57.3722,386.0000,60.4181,384.0000,0.4067,2.7721,0.2973,3.5433,0.2960,3.3143
