cell,seed,mode,guard,anchor,rank,gpu_label,share_mean,share_std,tput_mean,tput_std,gpu_util_mean,vram_alloc_peak_mb
seed-0-nccl-async-msf-relaxed,0,nccl-async,msf,relaxed,0,RTX 5060 Ti,0.3925,0.0076,2.3596,0.6198,20.2139,356.0000
seed-0-nccl-async-msf-relaxed,0,nccl-async,msf,relaxed,1,GTX 1060 (#1),0.3102,0.0055,3.1957,0.9804,53.6270,388.0000
seed-0-nccl-async-msf-relaxed,0,nccl-async,msf,relaxed,2,GTX 1060 (#2),0.2973,0.0056,3.0521,1.0219,55.7483,384.0000
seed-1-nccl-async-msf-relaxed,1,nccl-async,msf,relaxed,0,RTX 5060 Ti,0.4000,0.0108,2.4551,0.5986,20.9102,356.0000
seed-1-nccl-async-msf-relaxed,1,nccl-async,msf,relaxed,1,GTX 1060 (#1),0.3038,0.0093,3.2829,1.0666,55.2842,398.0000
seed-1-nccl-async-msf-relaxed,1,nccl-async,msf,relaxed,2,GTX 1060 (#2),0.2961,0.0079,3.3055,1.0933,57.7182,384.0000
seed-2-nccl-async-msf-relaxed,2,nccl-async,msf,relaxed,0,RTX 5060 Ti,0.3976,0.0120,2.5381,0.5855,20.7606,356.0000
seed-2-nccl-async-msf-relaxed,2,nccl-async,msf,relaxed,1,GTX 1060 (#1),0.3071,0.0090,3.2379,1.1063,56.0823,398.0000
seed-2-nccl-async-msf-relaxed,2,nccl-async,msf,relaxed,2,GTX 1060 (#2),0.2953,0.0099,3.3584,1.0393,58.5384,384.0000
seed-3-nccl-async-msf-relaxed,3,nccl-async,msf,relaxed,0,RTX 5060 Ti,0.4022,0.0113,2.4920,0.5798,20.9018,356.0000
seed-3-nccl-async-msf-relaxed,3,nccl-async,msf,relaxed,1,GTX 1060 (#1),0.3047,0.0083,3.2668,1.0395,56.2395,400.0000
seed-3-nccl-async-msf-relaxed,3,nccl-async,msf,relaxed,2,GTX 1060 (#2),0.2930,0.0085,3.4687,1.0914,58.4187,388.0000
seed-4-nccl-async-msf-relaxed,4,nccl-async,msf,relaxed,0,RTX 5060 Ti,0.3995,0.0149,2.4993,0.6256,20.8850,356.0000
seed-4-nccl-async-msf-relaxed,4,nccl-async,msf,relaxed,1,GTX 1060 (#1),0.3059,0.0116,3.3973,1.0927,56.2301,404.0000
seed-4-nccl-async-msf-relaxed,4,nccl-async,msf,relaxed,2,GTX 1060 (#2),0.2946,0.0102,3.3595,1.1051,58.9556,380.0000
seed-0-nccl-async-trend-relaxed,0,nccl-async,trend,relaxed,0,RTX 5060 Ti,0.3921,0.0107,2.2997,0.5690,20.2653,356.0000
seed-0-nccl-async-trend-relaxed,0,nccl-async,trend,relaxed,1,GTX 1060 (#1),0.3062,0.0064,3.0753,0.9266,52.9841,390.0000
seed-0-nccl-async-trend-relaxed,0,nccl-async,trend,relaxed,2,GTX 1060 (#2),0.3016,0.0087,3.0088,0.9462,55.9948,392.0000
seed-1-nccl-async-trend-relaxed,1,nccl-async,trend,relaxed,0,RTX 5060 Ti,0.3929,0.0097,2.3292,0.5596,20.8192,356.0000
seed-1-nccl-async-trend-relaxed,1,nccl-async,trend,relaxed,1,GTX 1060 (#1),0.3067,0.0068,3.1059,0.9454,54.0608,394.0000
seed-1-nccl-async-trend-relaxed,1,nccl-async,trend,relaxed,2,GTX 1060 (#2),0.3004,0.0080,3.2518,0.9833,56.5490,384.0000
seed-2-nccl-async-trend-relaxed,2,nccl-async,trend,relaxed,0,RTX 5060 Ti,0.3946,0.0093,2.3974,0.5505,21.7008,356.0000
seed-2-nccl-async-trend-relaxed,2,nccl-async,trend,relaxed,1,GTX 1060 (#1),0.3057,0.0078,3.2775,1.0241,54.5952,400.0000
seed-2-nccl-async-trend-relaxed,2,nccl-async,trend,relaxed,2,GTX 1060 (#2),0.2998,0.0073,3.2378,1.0319,56.9680,386.0000
seed-3-nccl-async-trend-relaxed,3,nccl-async,trend,relaxed,0,RTX 5060 Ti,0.3994,0.0085,2.5269,0.6190,21.0076,356.0000
seed-3-nccl-async-trend-relaxed,3,nccl-async,trend,relaxed,1,GTX 1060 (#1),0.3064,0.0068,3.3128,0.9745,56.3200,392.0000
seed-3-nccl-async-trend-relaxed,3,nccl-async,trend,relaxed,2,GTX 1060 (#2),0.2942,0.0074,3.3123,1.0966,58.8316,386.0000
seed-4-nccl-async-trend-relaxed,4,nccl-async,trend,relaxed,0,RTX 5060 Ti,0.3998,0.0085,2.5755,0.5566,21.1022,356.0000
seed-4-nccl-async-trend-relaxed,4,nccl-async,trend,relaxed,1,GTX 1060 (#1),0.3058,0.0063,3.4680,1.0809,56.7122,390.0000
seed-4-nccl-async-trend-relaxed,4,nccl-async,trend,relaxed,2,GTX 1060 (#2),0.2944,0.0097,3.1953,1.0245,58.7177,390.0000
